score,title,user_name,user_country,review_date,is_verified,review_body,airline,seat,aircraft,layout
2,they were very uncomfortable,D Marlee,Hong Kong,27th July 2018,1," 
It must have been new seats and they were very uncomfortable for a 11hrs flight. It doesn’t reclines and the leg rest only allows your calf muscles to rest. Just horrible and will be thinking twice now as flying economy might just save me money as the comfort is probably about the same!",Air France ,Premium Economy,Boeing 777-300,2x4x2
3,Seats are very uncomfortable,C Heany,Ireland,21st March 2018,1," Fly out to São Paulo via CDG in economy and back in Premium Economy in 20C. I could not recommend the extra for Premium. Seats are very uncomfortable and despite different planes in the past the experience has always been negative. Seat is designed by someone who never sat in them for 10+ hours. There is practically no recline. Economy seats are better. Food no different. Service indifferent. As the premium is located towards the front, the toilets are in the next cabin back. No chance of using business due to they ever vigilant crew, who only appeared to serve the food and little else. Flight delayed by 3 hours causing missed connections etc. an ever increasing problem with AF, the third occasion since start of year ! Movies choice dominated by French films with little new releases and no change on outward leg.",Air France ,Premium Economy,Boeing 777,242
10,I thought it was fine,K Marson,United States,2nd November 2017,," San Francisco to Paris return. Excellent Flight for the approx extra 30% on the fare. Separate Cabin small cabin, which is nice, upper deck sharing with Business Class. The flight crew was  professional and very courteous. The window seats get a little extra storage with a sort of ""locker"" next to the armrest and the window which is nice to have. Big enough for a purse and a backpack so we did not have to use the overhead. Lots of cubbyholes and holders for glasses, etc. Entertainment system was good, large selection of films, TV, music etc. Food and service was good. Lots of room. The seats: Ok big debate on this. The seats are in a fixed ""pod"" so the upside is that with the seat in front reclining or the seat in back pushing their tray table, it does not move your seat at all. But the seat does not actually recline, it sort of slides down in the pod to affect a reclining feeling. Honestly after 2 transatlantic crossings, I thought it was fine. Also for the price you get: Sky Priority Check in, Luggage, Boarding and Security (and Passport Control if applicable) so that is a huge time saver. I recommend it and the wife and I will be Flying Blue in PE again for sure.",Air France ,Premium Economy,A380,2x3x2
8,Seat recline not enough,Laurent Charpentier,France,2nd November 2017,," Seat 11B. Premium Economy with AF is a good flight : enough space for legs, width OK. In flight service personalized and good quality. Good meals with good wines (important issue for french passengers). Seat recline not enough for night flights.",Air France ,Premium Economy,Boeing 777-200,2x4x2
1,we had to suffer instead,B Kagonis,United States,12th October 2017,," I was returning from our European honeymoon and paid extra for Duo/2 seats 16K and 16L at the back of the premium economy cabin to enjoy a bit of quiet time on our flight from CDG to BOS. Unknown to me was the fact Air France cancelled our reservation for reasons never fully explained. We spent an hour in NCE with the agent trying to get seats for both our flights home. We begged the agent to upgrade us to business class and but he refused. Air France assigned us seats 15K and 15L telling us they were the same and we would be happy. What they never explained was this was a 3 seat and not a 2 seat row! How sneaky of them to not tell us it was not what we paid for. The arm between our seats was fixed in the down position and I suffered the indignity of having my seat back kick by the brat and his mommy who got my original seat. I am still confused why they were not assigned to new seats, but we had to suffer instead. Air France refused to grant us any consideration, refunds, credits for our terrible experience that had me an my new wife exchanging hash words. ",Air France ,Premium Economy,Boeing 777,3x4x3
9,Lots of space,Tamara Denby,United Kingdom,26th May 2017,, Row 93 K/L on the A380 were excellent seats. No one behind you as the loos were there. No big queues for toilets. Lots of space. Foot rests. Large window storage bins. The seat padding wasn't excellent but it was fine for our 10 hour journey. I would definitely pick these seats again.,Air France ,Economy Class,A380,2-4-2
6,seats were not that comfortable,Linda Vernel,Australia,25th April 2017,, This A380 premium economy seat does not recline instead it slides forward. There is no support for lower legs just a footrest attached to the seat in front. I found it best to keep the chair in the standard upright position with my feet on the footrest to push me back into the seat otherwise I had no lumbar support. I had a window seat so was able to rest against it and managed to set some sleep. There was plenty of space width wise. Because the seat didn't recline you did not have the seat in front encroaching on your space. The tray table was in the armrest. When the tray table was folded away there was no dedicated cup holder or place to store a water bottle. Headphones had good sound quality but I found they hurt my ears after a while (I was on a 13hr flight). There was adequate aisle space to walk. Overall the seats were not that comfortable considering I was flying Premium Economy.,Air France ,Premium Economy,A380-800,2x4x2
1,discomfort of the seats,M Taville,France,7th April 2017,," I'm used to fly with Air France as it is my home airline. On my last 14-hours flight from Singapore to Paris, I've been really upset by the discomfort of the seats, which appeared to be relatively new though. A 3x4x3 Boeing 777-300 cabin layout for a 14-hour flights lets you imagine how packed we were, not able to move a muscle. My neighbor was sleeping on me half of the time, I had no place to go exercise a bit to avoid any health issue and moving alors the corridors without waking up the passengers was nearly impossible if you were not a size 4.",Air France ,Economy Class,Boeing 777-300,3x4x3
4,not a good choice,Jean-Marie Humeau,France,2nd February 2017,," On my way back from New York to Paris, I flew on an A380. It was a night flight and I paid an extra fee because I wanted to stretch my legs. I had seat 11A. It was not a good choice : there is a partition in front of the seat, that prevents you from streching your legs. So, although you pay an extra fee, it is not as comfortable as a normal seat.",Air France ,Economy Class,A380,3x4x3
5,fairly uncomfortable,Nico Echeverri,Colombia,20th January 2017,," Flew Air France from Paris CDG to Bogota, the 11 hour flight was fairly uncomfortable due to the economy seats provided by Air France. I am a tall man and the leg room was minimal, left the airplane with severe knee aches due to not being able to barely stretch my legs. I hope Air France improve their seats in the near future.",Air France ,Economy Class,A340,2x4x2
4,still much too upright ,Guido Stoldt,Germany,2nd December 2016,," First time in the Air France Premium Economy seat, from Paris to Bangkok. Two seats less (2-4-2) than in Economy (3-4-3). The distance to the front seat it good, also Sky Priority privileges. Food was exactly the same like in Economy but in a better presentation. The seat is fine for a long day-flight, but for a night-flight concerning the sleeping comfort I do not see any advantage, it is definitely still much too upright to relax or have a good sleep!",Air France ,Premium Economy,Boeing 777-300,2x4x2
1,seats were the worst,J Tramell,United States,24th October 2016,," My wife and I flew from Detroit to Rome with a stop in Paris (CDG) on Air France in Premium Economy. The seats were the worst I've had in making a transatlantic flight. The clamshell design is hard and extremely uncomfortable with no real recline and a weak excuse for leg support. I traded my return tickets in for Economy and pitched a huge fit for the inconvenience, discomfort, and lack of cooperation in returning any money and they finally gave me a $200 per ticket travel voucher. ",Air France ,Premium Economy,A340-300,2x3x2
5,seats mediocre to moderate,D Callow,United States,18th October 2016,," I flew out of Boston to Paris on an approximate 6 hour flight. The flight itself was great, and the airline was good as well, but the seats on this flight were mediocre to moderate. The recline was limited, and if someone reclined in front of you, your space was greatly limited. Also, the middle seats only had space under 3 of the 4 seats in front of them, which led to one person in the row unable to store their bag in front of them. Lastly, the seats were comfortable enough, but they were certainly not exceptional or my first choice. On the other hand, they had a great entertainment touchscreen on the back of the seat in front of them, and were fully equipped for an enjoyable flight. Overall, the seats were decent but the airline certainly Made up for them.",Air France ,Economy Class,Boeing 777-200,3x4x3
6,middle seat serves as armrest,S Gigano,Italy,14th September 2016,," Milan to Paris CDG in Business class. The configuration in this class is 2x2, so the middle seat serves as armrest. Nothing special, a short flight, discreet service. A very dated aircraft, like many of the short-range Air France aircraft.",Air France ,Premium Economy,A318,2x2
3,seats do not recline enough,N Spurr,United Kingdom,12th September 2016,,"Flying from LAX to CDG on 7 September. The aircraft stood on the tarmac for 90 minutes after door closing minutes with no explanation and no air conditioning. The seats are very upright, making them most uncomfortable. They do not recline enough to give any comfort. Cushion foam is not supportive, I could feel the support bars of the seat frame. Legroom just about acceptable but short cushion length gives no thigh support. Entertainment screen has very poor resolution and flight information is woeful, with no information regarding speed, height or time to destination. Entertainment system itself is about the most difficult to navigate and slow to respond. Seems to be of a generation before the A380.",Air France ,Economy Class,A380,3x4x3
9,I was positively surprised,Gaspard Smith-vaniz,France,12th September 2016,,"This was my first time flying the A380 and I was positively surprised. Seats are larger, the seat recline was also better than on the A330s or 767s. There are large personal TV screens, with a good range of choices in Music and movies. I was next to the window, and there are 2 people you have to go over if you need to go to the restrooms. Passengers are provided with small blakets and pillows (that are very nice actually). Storage bins were the biggest I have seen so far. ",Air France ,Economy Class,A380,3x4x3
10,catch a few winks on my AF flights,C Tok,Singapore,20th July 2016,,"This was my second time travelling on Air France and also the second time I've been assigned an extra leg room seat on AF, even though at 5ft 2, I don't really need it. I read and heard a lot of bad reviews before so I was not expecting much but for the sake of travelling directly from Singapore to Paris, I decided to just rough it. Both times I've had excellent service, staff are very polite, elegant and pleasing, always offering wine or champagne routinely. Food was surprisingly amazing, in fact of all the airlines I've been on so far the food on Air France was the best. The wine was pretty good. I can't believe they even got dessert done right! I usually find it hard to sleep on planes but so far I've been able to catch a few winks on my AF flights. I did also witness an AF staff dealing with a very rude and loud passenger on my flight who had another passenger occupying her seat. The passenger occupying this passenger's seat had refused to take her designated seat as her daughter was seated next to her. In this scenario, I thought he dealt with the passenger very elegantly but sometimes you know, passengers can be just kind of unreasonable. It wasn't a very full flight and this person had the choice of seating somewhere else easily but was just being very difficult. I'm travelling on Air France again this weekend and am keeping my fingers crossed for a lucky trip no. 3! Looking forward to my glass of champagne already!",Air France ,Economy Class,Boeing777-300ER,3x4x3
8,Air France customer review,Charlie Lebreton,France,18th July 2016,,"The Boeing 777-300aircraft had the summer seat layout, with Business, Economy, Premium Economy and Economy again. This configuration is called QuickChange layout. I was seating at 19A, lot of space in front of me, the new Air France best cabin Economy offers a really good recline. In this area, the seats are more costly, but the space is much better than elsewhere in Economy. Food was really good, wine was offered twice, champagne for appetizer, and liquor after dessert. In flight entertainement had an OK amount of films, and diverse series. Maybe IFE needs a little improvement in terms of content, display is very satisfying. Cabin crew was pleasing and helpful.",Air France ,Economy Class,Boeing 777-300,3x4x3
3,poor value for price,Jean-Yves Charre,France,1st June 2016,, Flight AF017 departing from JFK at 6.20pm and arriving at CDG at 7.45am. Very poor value for price. The leather of the armrests of my seat was torn away. I was seating on seat 19B. Good seat with plenty of leg room but this seat (and the next to it) are usually taken for families with toddlers. I had a young mother with a daughter of 2 years old and it was quite difficult at the beginning until she fell asleep. The entertainment system is outdated. Selection of films available is limited and the moving in the menu did not work in 50% of the cases (brings you back to home). I also found the quality of the food served and the quantity below average and not at par with the other flights I am usually taking with Air France in Economy class.  Air France crew did a great job as usual and is very attentive to your needs.,Air France ,Economy Class,Boeing 777-200 ER,3-4-3
1,most horrid seat,Sean Clarke,Ireland,1st May 2016,," The A380 business class has the most horrid seat we have ever sat in. It is not a seat, more a capsule. The huge issue here is that is does not recline. The whole thing just slides down to put you in the most painful awkward position you could imagine. We had a horrendous time and couldn't wait to get off the plane. I suffered back pain for days after. I honestly would have been more comfortable in economy and saved a heap of money.",Air France ,Premium Economy,A380,2x3x2
1,not fly Air France again,Sean Clarke,Ireland,1st May 2016,, It was actually Air France Business Class. We thought that these old fashioned seats has disappeared years ago in favour of the later lie flats. They are the old extra recline that we are not used to at all. Not worth the money for such antiquated seating. Sorry to say we will not fly Air France again for long haul.,Air France ,Premium Economy,Boeing 777,2x3x2
2,A380 seats very uncomfortable,Daniel Wischenbarth,Austria,19th April 2016,,"Air France A380 seats are very uncomfortable. This was my first and most likely only long-haul flight with Air France in 10 years. The seat cushions are too stiff and hard for a long flight. Your legs and butt start feeling numb after 2 hours, it's impossible to sleep and when you do get up to move around you will find that there's literally no space for that, either. The aisles are extremely narrow, the back of the plane allows for a maximum of 3 people standing there. The 11 hour flight almost felt like eternity. ",Air France ,Economy Class,A380-800,2x4x2
8,a little tight,Ron Levangie,Canada,13th February 2016,,"We flew Air France Boeing 777-200 from Toronto to Bangalore via Paris. On our flight to Paris we had a window and middle seat. The aisle seat was vacant. This made the flight much more pleasant as we were able to get up when we wanted to. On the Paris to Bangalore flight we purchased the 2 seat for an additional $41 each which seemed to be a waste since we were the only ones who paid and other people that were sitting in the middle row moved to these seats. On our return we chose not to purchase these seats, unfortunately the return flights were full and we were stuck sitting at the window and middle seats. A little tight and harder to get up as they person on the aisle was always sleeping. Seat comfort is terrible, doesn't matter what airline you fly. Put a few extra pillows on my bottom for more comfort.",Air France ,Economy Class,Boeing 777-200,3x4x3
3,seat was very narrow,Carole Parker,United Kingdom,27th January 2016,,"Seat was very narrow, and the plane was also very full. I have flown transatlantic several times, but this was the first time with Air France. I was so disappointed, I expected a wider seat.  On the return journey I chose Premium Economy and that was of course much more comfortable. The amazing thing was that the connecting flight with Air France from CDG to Heathrow had great seat pitch, with the flight taking only 45 mins.  The cabin crew were very good! I wouldn't fly with AF again.",Air France ,Economy Class,Boeing 777,3x4x3
8,plenty of room,Andrew Streit,United States,25th January 2016,,"This flight was from JFK-CDG, so I was in the seat for about 7.5 hours. I am 6'3"" (195 cm), and I had plenty of room in the seat when I wasn't reclined. The seat has a USB port, which I used to charge my phone (albeit slowly). I also learned that when a USB drive is plugged into the port, the in-flight entertainment system (IFE) can display videos on the drive. The IFE was definitely large enough, as was the tray table. The only problem I ran into was when I reclined to sleep, my knees hit the seat in front of me, which was uncomfortable. The overhead bins and underseat storage were plenty large enough for my carry on bag.",Air France ,Premium Economy,Boeing 777-300ER,3x4x3
9,Air France customer review,Andrew Streit,United States,24th January 2016,,"The flight was an inter-European ""domestic"" flight from CDG to TXL, and as such only took about an hour and a half. Since it was a morning flight, a delicious chocolate croissant was served almost immediately after takeoff. The seat room was slightly too small (I am 6'4"" or 195 cm.), so I put my legs in the aisle to get more room (when there wasn't anyone else trying to use it).",Air France ,Economy Class,A320,3x3
2,10 abreast Boeing 777,Jim Neuhaus,France,20th January 2016,,"This is the narrowest seat I have traveled in, and it is very hard. As a result it is near impossible to sleep, and becomes painful after two hours of flight. Frequent position changes are the only way to accomodate the pain. Air France cram 10 seats abreast seats in a Boeing 777 (like Emirates etc), and it is clearly perceptible in the seat and armrest width. Even the aisles are hard to navigate with a bag.",Air France ,Economy Class,Boeing 777,3x4x3
5,disappointed with the seats,Antonio Frongia,Spain,12th January 2016,,"I must say that for the price I paid - 380 Euros-  for a return flight from Malaga to New York JFK I shouldn't be complaining at all. However I have to admit that I am a bit disappointed with the seats: they were new but small and not comfortable at all. I am 5 feet 7 inches, so not exactly a giant, but still I haven't been able to find the right position and rest properly. The screen for the infotainment was old and small too. The good news is that there was a USB socket so I have been able to charge my iPad and watch movies on a decent size screen.",Air France ,Economy Class,A380,3x4x3
8,are very comfortable,Aurelien Guzzetti,Italy,23rd November 2015,,"Good Premium Economy seat with a good tv and good storage. The seats are old, but they are very comfortable. The tv is good but it isn't very easy to touch the screen. There is a big storage, but only near to the windows, so if you aren't near to the window you haven't any storage. I was near to the window.",Air France ,Premium Economy,Boeing 777-300ER,2x4x2
3,the seat is hard,S Davis,Canada,3rd November 2015,,The seat is a shell type setting and does not recline. You move downwards versus recline and the seat is hard and is very uncomfortable. There is a foot rest which helps but I did leave the aircraft with lower back pain as the seat positioning is awful. The leg room is fine if you want to sit upright but if you want to lower the seat forget it as the body mechanics you end up in prevent any type of comfort.,Air France ,Premium Economy,Boeing 777-200,2x3x2
1,Impossible to rest neither sleep,G Neumann,Argentina,21st September 2015,,"Buenos Aires to Paris return on Boeing 777. Seats narrow, the front seat almost on my face. Impossible to rest neither sleep. I'm 1,83m and wieght 84kgs. normal size. It so small the tray that it makes impossible to eat and the tray where they bring the meal is so tiny you can't eat. ",Air France ,Economy Class,Boeing 777,3x4x3
1,Premium Economy seats are dreadful,Sean Clarke,Ireland,2nd September 2015,,"Air France A380 Premium Economy seats are dreadful. They slide down and there is no recline. You will probably end up, like me and other reviewers here, with an aching back for days after and you will be very lucky to get any sleep. They offer no comfort whatsoever. I suffered this seat on an eleven hour flight. My partner is much shorter than me and she also found the seat dreadful. What on earth are you thinking of Air France to offer such a ridiculous seat for so much money? Premium economy is exactly that - a better experience, more room, more comfort and a more premium version of economy. We did not get any of this.",Air France ,Premium Economy,A380,2-4-2
5,seat recline was horrible,F Rohart,France,28th August 2015,,"This is the first time I fly with Air France for a long haul flight from France to Indonesia because they offered a very attractive price comparing to the airlines I usually take (Emirates and Qatar Airways). After reading the reviews before flying on this website, I was scared. But then the nightmare really did come to reality! The seat recline was horrible, and I could not really sleep during a 12 hours flight from CDG Paris to Kuala Lumpur (transit). I also felt that the seat was narrower than KLM's. Luckily the air crews were very nice and always offer water to the passengers. Since this is the old Boeing 777-200, the entertainment system was old too and offered a very limited choices. I chose a vegetarian meal, and I must say they were not the best. Toilets did not offer too many things, but they were quite clean.",Air France ,Economy Class,Boeing 777-200,3x4x3
3,seat does not recline,Linda Lander,Australia,6th August 2015,,"The design is a capsule where the seat does not recline but slides down in a fixed position and while you gain no comfort from this shift, you lose leg room as the capsule moves into your available leg room.  The other issue is that there are inadequate toilets with wait times of 30 minutes or longer as the line of passengers grows and the wait becomes painful. Things like having no place to put your coat, the lack of adequate toilet facilities and the rediculat but expensive capsule seats in premium economy make this a costly and uncomfortable option.",Air France ,Premium Economy,Boeing 777,Premium Economy
6,knees often banged the seat in front,Jason Poh,Singapore,30th June 2015,,"SIN-CDG and back on Air France economy class. Decent in flight entertainment,  no flight delays. Leg room is little, and my knees often banged the seat in front of me, seat is too narrow, I ended up rubbing shoulders with other passengers whenever we moved about our seats.",Air France ,Economy Class,Boeing 777,3x4x3
10,a really good surprise,Habile Buston,United States,11th June 2015,,"I'm not used to travelling with Air France and it has been a really good surprise for me when I discovered the new cabin! The seats are well designed, the headrests are covered with leather, there is an individual pillow (which is aesthetically pleasant) for each seat and the legroom is quite good (I'm tall). But the most impressive thing is the HD screen! In Economy Class, having a such beautiful screen is uncommon. The seat recline is not the best I have known but that's correct. I really appreciated the service and I love the new brand image, built on the French values (the safety video is adorable). I do recommend this airline for a long-haul flight!",Air France ,Economy Class,Boeing 777-300,3x4x3
1,leg rest is painful,J Sappington,United States,10th May 2015,,LAX to CDG was hell! These seats do not recline forcing the weight of your body to rest on your bottom. The leg rest is painful too small poor design. The thigh support does not come up high enough to touch your thighs making it worthless. On the return flight I put a carry on under the seat in front in front of me and used it as a foot rest. I would rather have a seat that reclined and deal with the seat in front of me intruding into my space. The premium economy seats share a bathroom with economy making for long waits.,Air France ,Premium Economy,AIRBUS A380,2x4x2
4,makes sleeping very difficult,Ashley Johnson,United Kingdom,10th May 2015,,Everything about the PE seats on AF from CDG-BKK is very good from lounge access with air mile points to priority boarding dedicated check-in desks food movie entertainment size of seats etc. Mind the red wine can be very poor. The big issue is the seat recline which is virtually non-existent and less than most airlines economy which makes sleeping very difficult as you are bolt upright.,Air France ,Premium Economy,BOEING 777,2x4x2
9,legroom is absolutely dazzling,L Cohen,United States,10th May 2015,,This was great! I flew LAX-CDG and back and liked it a lot. I mean the legroom is absolutely dazzling and the seat recline was great (well I'm short) and the shell seat is great because you don't have to have the seat in front of you in your face. If you feel like you're not lucky to be in this small cabin (the upper deck one is the only one on the plane) look at the economy passengers behind you! I felt like how low the seats were made it so that it was a bit difficult to view the screen. But this was hardly noticeable. Again I'm short!,Air France ,Premium Economy,AIRBUS A380,2x3x2
8,found the seating as comfortable,A Jeffery,United Kingdom,29th March 2015,,"Sat in seats 46G and 46H on AF 0642 Orly to St. Denis Réunion (RUN) and was pleasantly surprised after reading some bad reviews. My perceptions of the level of comfort may be slightly different as I am 5' 1"" and was seated next to a small child however my husband (5' 11"") also found the seating as comfortable as on economy class on any other scheduled European airline. This row is immediately behind the one behind a bulkhead (i.e. behind the row often given to families - we were lucky to have a quiet family in front who slept as well as we did). Passengers on those rows generally do not recline their seats so much due to the extra space in front of them consequently we in turn did not feel so trapped in our seats as passengers further back may have done - our seats did not recline as much as some on other aircraft but we did not find this a problem. Worth mentioning that the food was excellent too!",Air France ,Economy Class,BOEING 777-300,3x4x3
1,the most uncomfortable seat,Eva Zetterqvist,France,21st February 2015,,We flew CDG to SGL and then EZE to CDG the same torture unbelievable. This was unfortunately the most uncomfortable seat I sat in on a long haul flight. The seat looks good on the website when first looking at it. Air France makes its Premium Economy a real additional class. There are fewer seats per row. The seat is designed so that you have real isolated private space. You also have quite a lot legroom. Unfortunately the design of the seat itself is an outright disaster. The seat area itself is way too short even for short people. The seat hardly reclines at all. The footrest leaves your feet in an awkward cramped position if you do not happen to be extremely short - shorter than 160 cm like me. However not using the footrest will have your feet dangling in mid air. There is a leg rest that you can swing out but since the seat is too short it will hardly support anything. The seat is a disaster or an overnight long haul flight. Air France should feel ashamed charging extra for these seats. And it is not peanuts for us it was almost the double compared to Economy class fare.,Air France ,Premium Economy,BOEING 777-300ER,2x4x2
6,decent legroom but very uncomfortable,Mark Ledwick,United Kingdom,7th February 2015,,"Decent legroom but very uncomfortable. I had high hopes with it being my first flight on the A380 and it being a large modern aircraft. The recline was almost non-existent. Also I really couldn't understand how the tv screen could be so badly designed. I'm an average height guy around 5'10"" but couldn't see the screen properly when the seat in front wasn't reclined. Anyone shorter would see nothing. Who designed these things?",Air France ,Economy Class,AIRBUS A380,3x4x3
2,the most uncomfortable seat,Karl Banke,Germany,2nd February 2015,,This was unfortunately the most uncomfortable seat that I ever sat in on any long haul flight. The seat looks very good on the website as well as when first looking at it for real. Air France makes its Premium Economy a real additional class. There are fewer seats per row (2x3x2 as opposed to 2x4x2) and the Video Screen is much larger. There are better headphones than in Economy and the seat is designed so that you have real isolated private space. You also have quite a lot legroom. Unfortunately the design of the seat itself is an outright disaster. The seat area itself is way too short even for normal sized people. The seat does hardly recline at all. The footrest leaves your feet in an awkward cramped position if you do not happen to be very small. However not using the footrest will have your feat dangling in mid air. There is a leg rest that you can swing out but since the seat is to short it will hardly support anything. The whole seat design feels strangely like a business class seat for small children. Because of the legroom the good entertainment system and the private space this seat is probably an option for a day flight where seating comfort does not matter much. For an overnight long haul it is just a disaster.,Air France ,Premium Economy,AIRBUS A340,2x3x2
1,almost no recline or legroom,J Kwaak,South Korea,2nd February 2015,,Seat number 30A the last row of this particular section meaning almost no recline or legroom. A very old upholstery and more uncomfortable than other European carriers and Asian airlines. I had booked another seat during booking.,Air France ,Economy Class,BOEING 777-300,3x4x3
10,was able to sleep comfortably,Y Kinsey,United States,27th January 2015,,"I flew in Premium Economy from LAX to CDG. I agree that the recline on these seats is not great but the width of the seat and the fact that no one reclines their seat into your lap was worth the extra money. I was able to sleep comfortably for the majority of the flight. My husband is 5""10 and was able to stretch out and sleep comfortably in the seat. The service was great. Flight attendants were attentive but not bothersome. We were on the upper deck which felt cozy with easy access to the snack bar and bathrooms. Food and wine with dinner was good. Breakfast was satisfactory also. Also enjoyed not having to wake my spouse in order to get into the aisle. Would definitely fly Air France premium economy again.",Air France ,Premium Economy,AIRBUS A380,2x4x2
6,was much too slim,S Fleischer,Germany,19th November 2014,,I flew with TXL-CDG and the flight was okay. Non reclinable seat was ok but it was much too slim which means that I was able to feel on my back when the person behind me flods up the table. So when you are having bad luck and the person behind you is very tall you will feel knees in your back.,Air France ,Economy Class,AIRBIS A318,3x3
1,Thoroughly disappointed,Ovidia Wang,Malaysia,19th November 2014,,The PTV screen is not even aligned to my seat. Water is almost never served even when asked for a glass of water the request seems to be forgotten. Return flight got canceled thanks to the famous Air France strike with no accessible customer service to follow up with and we have not heard back from them on a refund even though we have written to them. First and last time flying with them. Thoroughly disappointed. Very uncomfortable seats as well.,Air France ,Economy Class,BOEING 777,3x4x3
3,legroom is horrible,Stephen Frietch,United States,19th November 2014,,Legroom is horrible the worst ever for international 7 hour flight. Will not fly Air France again.,Air France ,Economy Class,BOEING 777-200,3x4x3
3,the worst seats ever,Frank Hokins,United States,6th August 2014,,We tried these seats for the first time flying CDG-ATL. Big mistake and we can say these are the worst seats ever. There is no recline and the seats are rock hard. Service and food is the same as regular economy.,Air France ,Premium Economy,BOEING 777-200,2x4x2
